TYR	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
Q9HD40_1_501_3hl2_pdb_TYR_PLP_1.dlg	-13.68	36	-13.23	18	-7.58	36	-6.42	18	-7.28	52	-6.35	-7.7	96	2	24
Q05329_88_584_2okk_pdb_TYR_PLP_2.dlg	-10.35	66	-10.03	41	-4.36	66	-6.63	41	-6.63	41	-6.29	-7.35	49	4	12
Q16719_6_460_2hzp.1.A_swissmodel_TYR_PLP_2.dlg	-7.94	9	-7.83	1	-3.94	9	-3.32	1	-4.3	23	-3.55	-5.95	63	2	30
Q8TBG4_7_438_4ysn.1.A_swissmodel_TYR_PLP_2.dlg	-4.62	86	-4.62	86	-2.53	86	-2.53	86	-2.53	86	2.57	-5.66	84	1	14
Q05329_88_584_2okk_pdb_TYR_PLP_1.dlg	-10.39	68	-10.16	87	-4.46	68	-7.34	87	-7.44	40	-7.12	-7.64	3	2	10
P19113_2_477_4e1o.1.A_swissmodel_TYR_PLP_1.dlg	-13.19	63	-12.86	87	-6.73	63	-6.97	87	-7.38	25	-7.01	-7.48	57	2	37
O94903_12_248_1ct5.1.A_swissmodel_TYR_PLP_1.dlg	-9.36	45	-9.36	45	-6.61	45	-6.61	45	-6.68	76	-6.22	-6.77	34	1	17
P32929_1_402_3cog_pdb_TYR_PLP_1.dlg	-8.45	94	-2.47	8	-3.44	94	-4.02	8	-5.27	23	-3.56	-7.21	56	3	39
Q8N5Z0_1_425_4gdy_pdb_TYR_PLP_2.dlg	-13.8	86	-13.8	86	-6.21	86	-6.21	86	-6.43	77	-5.35	-8.12	6	1	60
P21549_1_392_4kyo_pdb_TYR_PLP_1.dlg	-8.45	8	-6.36	45	-6.31	8	-5.85	45	-5.85	45	-4.9	-6.31	8	4	22
O14977_2_437_4zgz_pdb_TYR_PLP_1.dlg	-6.47	3	-5.09	15	-5.11	3	-3.36	15	-3.62	34	-3.13	-5.45	62	17	11
O15382_28_392_5bwt_pdb_TYR_PLP_1.dlg	-13.88	32	-13.88	32	-6.71	32	-6.71	32	-7.31	77	-6.18	-8.39	80	1	22
Q9GZT4_3_329_3l6r.1.A_swissmodel_TYR_PLP_1.dlg	-11.04	4	-11.04	4	-6.32	4	-6.32	4	-6.65	32	-5.93	-7.05	12	1	36
P17174_2_413_3wzf.1.A_swissmodel_TYR_PLP_1.dlg	-12.13	69	-11.97	21	-6.1	69	-5.54	21	-5.83	28	-5.43	-8.63	70	2	15
O15382_28_392_5hne_pdb_TYR_PLP_2.dlg	-13.38	84	-11.02	36	-6.19	84	-5.38	36	-5.56	94	-5.12	-8.66	96	7	17
Q99259_90_594_3vp6_pdb_TYR_PLP_2.dlg	-13.96	12	-13.96	12	-6.73	12	-6.73	12	-7.01	100	-5.75	-7.71	96	1	33
P21549_1_392_3r9a_pdb_TYR_PLP_2.dlg	-10.58	17	-10.58	17	-5.46	17	-5.46	17	-5.94	24	-4.82	-7.71	98	1	26
P13196_189_573_3hqt.1.A_swissmodel_TYR_PLP_1.dlg	-11.13	38	-9.8	89	-8.1	38	-4.65	89	-5.6	94	-4.77	-8.29	78	2	29
P04181_1_439_2byl_pdb_TYR_PLP_1.dlg	-9.83	57	-9.49	96	-6.18	57	-4.9	96	-5.34	78	-4.42	-7.12	10	2	29
Q9Y697_67_457_5kz5_pdb_TYR_PLP_8.dlg
Q96EN8_35_495_5j8q.1.A_swissmodel_TYR_PLP_1.dlg	-8.62	39	-7.32	57	-4.73	39	-6.38	57	-6.38	57	-5.19	-6.38	57	6	27
Q8N5Z0_1_425_3ue8_pdb_TYR_PLP_1.dlg	-15.0	51	-15.0	51	-5.68	51	-5.68	51	-6.06	69	-5.53	-8.86	25	1	84
P20711_1_480_3rch_pdb_TYR_PLP_2.dlg	-10.3	6	-10.3	6	-7.44	6	-7.44	6	-7.71	43	-7.32	-7.71	43	1	14
P00505_32_430_5ax8.2.B_swissmodel_TYR_PLP_2.dlg	-13.06	12	-12.07	83	-8.57	12	-4.8	83	-5.98	14	-5.06	-8.57	12	2	19
P21549_1_392_4kxk_pdb_TYR_PLP_1.dlg	-7.71	64	-1.64	43	-4.75	64	-2.0	43	-4.57	18	-1.92	-4.75	64	6	19
Q9BYV1_65_508_5g4i.1.A_swissmodel_TYR_PLP_2.dlg	-8.19	94	-7.72	93	-4.98	94	-4.08	93	-4.08	93	-3.26	-6.01	59	4	18
P13196_240_598_3tqx.1.A_swissmodel_TYR_PLP_2.dlg	-10.04	40	-9.36	1	-6.47	40	-7.48	1	-7.56	45	-7.12	-7.65	31	6	24
Q8N5Z0_1_425_3dc1_pdb_TYR_PLP_2.dlg	-11.71	42	-10.09	63	-4.85	42	-6.55	63	-6.56	33	-6.24	-7.17	7	4	18
Q8N5Z0_1_425_4ge9_pdb_TYR_PLP_1.dlg	-14.35	45	-12.8	80	-6.34	45	-7.09	80	-7.27	84	-6.81	-9.04	67	5	30
P20132_4_322_1p5j.1.A_swissmodel_TYR_PLP_1.dlg	-13.49	62	-13.49	62	-6.61	62	-6.61	62	-6.94	33	-5.94	-8.19	37	1	31
P21549_1_392_1j04_pdb_TYR_PLP_1.dlg	-12.92	18	-12.92	18	-6.47	18	-6.47	18	-7.41	72	-6.23	-7.68	5	1	35
P19113_2_477_4e1o.1.A_swissmodel_TYR_PLP_2.dlg	-13.18	94	-13.18	94	-6.66	94	-6.66	94	-6.89	81	-6.39	-7.68	93	1	54
P11926_7_427_1d7k_pdb_TYR_PLP_1.dlg	-11.24	42	-10.7	65	-6.95	42	-6.35	65	-6.8	91	-5.59	-6.95	42	2	14
Q6ZQY3_35_520_5hsj.1.A_swissmodel_TYR_PLP_1.dlg	-10.41	72	-9.89	64	-6.09	72	-4.98	64	-5.8	37	-5.13	-6.83	57	5	11
Q96QU6_55_475_1m7y.1.A_swissmodel_TYR_PLP_1.dlg	-11.52	12	-9.23	70	-7.0	12	-6.12	70	-6.39	14	-6.18	-7.56	95	10	12
P24298_19_495_3tcm.1.A_swissmodel_TYR_PLP_2.dlg	-8.9	8	-8.9	8	-6.29	8	-6.29	8	-6.88	81	-5.23	-6.88	81	1	42
P17174_14_412_3ii0_pdb_TYR_PLP_2.dlg	-13.26	43	-13.26	43	-5.56	43	-5.56	43	-5.77	20	-4.96	-6.83	15	1	39
Q9Y697_67_457_5kz5_pdb_TYR_PLP_11.dlg
Q8N5Z0_2_425_2vgz_pdb_TYR_PLP_1.dlg	-12.54	6	-12.54	6	-5.2	6	-5.2	6	-5.62	23	-4.99	-7.82	79	1	25
P17735_41_444_3dyd_pdb_TYR_PLP_1.dlg	-11.19	10	-11.19	10	-6.87	10	-6.87	10	-7.17	97	-6.82	-7.17	97	1	33
P21549_1_392_4cbr_pdb_TYR_PLP_2.dlg	-11.44	80	-11.44	80	-6.08	80	-6.08	80	-7.13	79	-5.61	-8.36	99	1	39
O15382_28_392_5i5u_pdb_TYR_PLP_1.dlg	-14.99	50	-14.99	50	-8.27	50	-8.27	50	-8.27	50	-6.64	-8.27	50	1	39
P80404_39_499_4y0d.1.A_swissmodel_TYR_PLP_2.dlg	-11.65	65	-11.65	65	-6.15	65	-6.15	65	-6.39	30	-5.78	-6.88	67	1	58
Q9Y697_67_457_5kz5_pdb_TYR_PLP_4.dlg
P54687_21_386_2abj_pdb_TYR_PLP_2.dlg	-11.99	43	-11.99	43	-5.59	43	-5.59	43	-6.0	34	-5.46	-7.8	58	1	31
Q9HD40_19_462_4zdl.1.A_swissmodel_TYR_PLP_4.dlg	-16.4	17	-15.57	75	-8.28	17	-7.38	75	-7.41	82	-6.27	-8.37	59	2	18
O15382_28_392_5bwr_pdb_TYR_PLP_1.dlg	-13.72	100	-13.72	100	-7.16	100	-7.16	100	-7.26	96	-5.96	-8.66	41	1	28
O15382_28_392_5bwt_pdb_TYR_PLP_2.dlg	-13.84	74	-13.84	74	-7.85	74	-7.85	74	-7.85	74	-6.53	-8.3	52	1	17
P20711_1_480_3rbl_pdb_TYR_PLP_2.dlg	-10.85	22	-10.85	22	-7.26	22	-7.26	22	-7.67	94	-7.18	-7.67	94	1	26
P34896_8_483_1eji.1.D_swissmodel_TYR_PLP_4.dlg	-8.97	84	-8.34	74	-5.14	84	-5.03	74	-5.33	51	-4.69	-6.22	50	3	19
Q9Y697_67_457_5kz5_pdb_TYR_PLP_9.dlg
P34897_43_504_4pvf.1.A_swissmodel_TYR_PLP_2.dlg	-9.86	4	-9.86	4	-6.16	4	-6.16	4	-6.16	4	-5.79	-6.21	88	1	24
Q9Y697_67_457_5kz5_pdb_TYR_PLP_2.dlg
Q96GA7_11_328_2rkb_pdb_TYR_PLP_1.dlg	-12.37	63	-11.97	49	-6.45	63	-7.41	49	-7.89	52	-7.28	-7.89	52	5	16
Q8N5Z0_1_425_2xh1_pdb_TYR_PLP_2.dlg	-13.78	15	-13.78	15	-5.76	15	-5.76	15	-6.43	23	-5.31	-7.52	92	1	49
Q16773_1_422_4wlh_pdb_TYR_PLP_1.dlg	-12.83	59	-12.83	59	-6.24	59	-6.24	59	-7.05	78	-5.76	-7.05	78	1	80
P32929_1_402_2nmp_pdb_TYR_PLP_2.dlg	-9.05	68	-9.05	68	-6.2	68	-6.2	68	-6.39	95	-5.88	-6.49	43	1	15
P32929_1_405_3elp_pdb_TYR_PLP_1.dlg	-10.35	71	-9.86	90	-6.03	71	-4.89	90	-5.82	46	-5.22	-6.72	24	5	8
P04181_1_439_2oat_pdb_TYR_PLP_2.dlg	-10.85	18	-10.17	75	-5.83	18	-5.6	75	-5.6	75	-4.71	-7.05	85	2	23
Q9GZT4_1_340_3l6r_pdb_TYR_PLP_1.dlg	-10.04	93	-10.04	93	-6.16	93	-6.16	93	-6.17	37	-5.79	-6.73	32	1	25
O75600_24_417_2jg2.1.A_swissmodel_TYR_PLP_2.dlg	-9.98	98	-9.97	12	-4.1	98	-6.05	12	-6.39	31	-6.04	-6.43	27	2	15
P06737_2_847_1fc0_pdb_TYR_PLP_2.dlg	-13.06	39	-11.65	5	-7.13	39	-6.73	5	-7.31	45	-6.68	-7.95	70	6	20
Q16773_4_422_4wp0.1.A_swissmodel_TYR_PLP_1.dlg	-14.84	7	-14.84	7	-8.3	7	-8.3	7	-8.54	22	-6.8	-8.54	22	1	46
Q9Y697_67_457_5kz5_pdb_TYR_PLP_6.dlg
Q9HD40_1_501_4zdo_pdb_TYR_PLP_4.dlg	-12.68	68	-12.68	68	-5.83	68	-5.83	68	-5.86	15	-5.5	-8.17	40	1	20
P20711_1_480_3rbf_pdb_TYR_PLP_1.dlg	-10.16	23	-10.16	23	-4.24	23	-4.24	23	-4.62	63	-3.79	-6.97	32	1	13
P11216_22_840_5iko.1.A_swissmodel_TYR_PLP_2.dlg	-12.41	1	-12.04	69	-6.68	1	-6.22	69	-6.33	48	-5.34	-7.08	86	4	28
P0DN79_41_550_4l3v.1.A_swissmodel_TYR_PLP_1.dlg	-2.81	40	-2.17	86	-3.44	40	-3.38	86	-5.06	84	-3.3	-5.06	84	2	16
O75600_74_419_2x8u.1.A_swissmodel_TYR_PLP_1.dlg	-10.57	43	-9.27	58	-5.03	43	-5.51	58	-5.58	90	-5.21	-6.9	44	5	20
Q96QU6_63_482_1ynu.1.A_swissmodel_TYR_PLP_1.dlg	-12.7	49	-11.01	53	-5.39	49	-5.06	53	-6.14	60	-4.99	-7.28	40	2	27
P06737_2_847_1xoi_pdb_TYR_PLP_1.dlg	-12.82	37	-12.82	37	-7.44	37	-7.44	37	-7.88	58	-7.24	-7.88	58	1	35
Q16773_1_422_1w7m_pdb_TYR_PLP_2.dlg	-13.69	22	-13.69	22	-7.13	22	-7.13	22	-7.13	22	-6.37	-7.42	46	1	28
P11216_1_843_5ikp_pdb_TYR_PLP_1.dlg	-14.89	80	-14.89	80	-2.49	80	-2.49	80	-2.76	70	-2.35	-4.21	64	1	47
P32929_10_399_3cog.1.A_swissmodel_TYR_PLP_4.dlg	-8.65	6	-8.65	6	-2.96	6	-2.96	6	-3.92	81	-1.98	-7.32	78	1	28
P06737_1_847_2zb2_pdb_TYR_PLP_1.dlg	-11.24	38	-10.38	43	-5.86	38	-7.01	43	-7.27	12	-6.86	-7.27	12	3	16
P32929_1_402_2nmp_pdb_TYR_PLP_3.dlg	-7.45	97	-4.27	92	-2.97	97	-4.41	92	-6.27	60	-4.0	-7.67	47	6	12
P06737_1_847_1exv_pdb_TYR_PLP_1.dlg	-13.01	30	-11.98	70	-6.55	30	-6.76	70	-7.07	15	-6.45	-7.63	36	2	31
O15382_28_392_1ekv_pdb_TYR_PLP_2.dlg	-13.91	81	-13.83	37	-6.15	81	-6.66	37	-7.63	71	-5.73	-8.79	62	2	47
P32929_1_402_3cog_pdb_TYR_PLP_4.dlg	-7.16	47	-2.23	96	-3.45	47	-4.57	96	-4.79	57	-3.19	-6.11	87	6	23
Q9Y697_67_457_5kz5_pdb_TYR_PLP_1.dlg
Q99259_90_594_3vp6_pdb_TYR_PLP_1.dlg	-10.47	74	-8.88	89	-4.21	74	-5.07	89	-5.56	23	-5.04	-7.34	94	10	12
P04181_38_439_1gbn_pdb_TYR_PLP_1.dlg	-10.35	62	-10.35	62	-5.24	62	-5.24	62	-5.41	92	-4.96	-6.88	70	1	28
Q16773_1_422_3fvs_pdb_TYR_PLP_1.dlg	-12.63	84	-12.63	84	-6.29	84	-6.29	84	-7.08	41	-6.33	-7.19	72	1	37
P34897_17_504_3ou5_pdb_TYR_PLP_1.dlg	-8.43	79	-7.47	46	-3.26	79	-5.39	46	-5.39	46	-4.85	-5.39	46	9	7
Q6ZQY3_35_520_5hsj.1.A_swissmodel_TYR_PLP_2.dlg	-10.38	19	-10.38	19	-6.29	19	-6.29	19	-6.4	92	-6.11	-6.46	42	1	17
P32929_10_399_3cog.1.A_swissmodel_TYR_PLP_3.dlg	-4.89	3	-2.39	89	-2.88	3	-4.15	89	-4.97	93	-2.78	-7.94	21	2	18
Q6ZQY3_35_521_2jis.1.A_swissmodel_TYR_PLP_1.dlg	-9.9	46	-9.34	52	-6.23	46	-4.63	52	-4.63	52	-3.99	-6.65	6	3	18
